Admission Number,Date of Transaction,Invoice ID,Fee head,Fee term,Original Fee Amount,Concession Applied,Final Amount (paid),concession name,Payment Mode,Collected By ID
10003291,7/9/25,2957,Tuition Fees,July + August,5600,,5600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002353,7/14/25,2956,Tuition Fees,May + June,7000,1050,5950,Sibling Concession 15%,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002353,7/14/25,2956,Tuition Fees,July + August,7000,1050,2975,Sibling Concession 15%,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001501,7/14/25,2955,Tuition Fees,May + June,8000,,8000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001501,7/14/25,2955,Tuition Fees,July + August,4000,,4000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002139,7/14/25,2954,Tuition Fees,July + August,4300,,4300,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002128,7/14/25,2953,Tuition Fees,July + August,8000,1200,3400,Sibling Concession 15% (Custom Fixed),NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002505,7/14/25,2952,Tuition Fees,July + August,3800,,3800,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002727,7/14/25,2951,Tuition Fees,May + June,7000,,7000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002727,7/14/25,2951,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003312,7/14/25,2950,Tuition Fees,July + August,5000,,5000,,ONLINE,
10003145,7/14/25,2949,Tuition Fees,July + August,5000,,5000,,Cash,cmd3fq0hm00037ifw68pdxd2t
10003279,7/14/25,2948,Tuition Fees,July + August,8000,,8000,,ONLINE,
10002680,7/14/25,2947,Tuition Fees,July + August,7000,1400,2800,Sibling Concession 20% (Custom Fixed),Cash,cmd3fp3ok00027ifwvb3nbrat
10002341,7/14/25,2946,Tuition Fees,July + August,7600,1520,3040,Sibling Concession 20%,Cash,cmd3fp3ok00027ifwvb3nbrat
10002339,7/14/25,2945,Tuition Fees,July + August,8600,,4300,,Cash,cmd3fp3ok00027ifwvb3nbrat
10002340,7/14/25,2944,Tuition Fees,July + August,8000,1600,3200,Sibling Concession 20% (Custom Fixed),Cash,cmd3fp3ok00027ifwvb3nbrat
10003461,7/14/25,2943,Tuition Fees,May + June,7600,,7600,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10003461,7/14/25,2943,Tuition Fees,July + August,3800,,3800,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10003469,7/14/25,2942,Tuition Fees,July + August,3000,,3000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001156,7/14/25,2941,Tuition Fees,July + August,9000,,9000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002826,7/14/25,2940,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10002235,7/14/25,2939,Tuition Fees,July + August,7000,,7000,,ONLINE,
10003143,7/14/25,2938,Tuition Fees,July + August,5600,600,5000,Sibling Concession 15% (Custom Fixed),ONLINE,
10002865,7/14/25,2937,Tuition Fees,July + August,7000,,7000,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10003137,7/14/25,2936,Tuition Fees,May + June,3800,,3800,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10003137,7/14/25,2936,Tuition Fees,July + August,3800,,3800,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10003068,7/14/25,2935,Tuition Fees,May + June,7600,,7600,,ONLINE,
10003037,7/14/25,2934,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10003037,7/14/25,2934,Tuition Fees,September + October,7000,,7000,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10002820,7/14/25,2933,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002692,7/14/25,2932,Tuition Fees,July + August,7000,,7000,,Cash,cmd3fq0hm00037ifw68pdxd2t
10003329,7/14/25,2931,Tuition Fees,July + August,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001290,7/14/25,2930,Tuition Fees,May + June,8000,3000,5000,Staff Concession 1500,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002451,7/14/25,2929,Tuition Fees,May + June,7000,1050,2975,Sibling Concession 15%,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001859,7/14/25,2928,Tuition Fees,May + June,4000,,4000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002992,7/14/25,2927,Tuition Fees,May + June,3500,,3500,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001934,7/14/25,2926,Tuition Fees,May + June,7600,,7600,,Cash,cmd3fp3ok00027ifwvb3nbrat
10003136,7/14/25,2925,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002213,7/13/25,2924,Tuition Fees,July + August,7600,1050,6550,Sibling Concession 15%,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10002214,7/13/25,2923,Tuition Fees,July + August,8000,,8000,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10003341,7/14/25,2922,Tuition Fees,May + June,5600,840,4340,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001563,7/14/25,2921,Tuition Fees,May + June,8000,1600,6400,Sibling Concession 20% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001432,7/14/25,2920,Tuition Fees,May + June,9000,,9000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003323,7/14/25,2919,Tuition Fees,July + August,5000,,5000,,ONLINE,
10002830,7/14/25,2918,Tuition Fees,July + August,7000,,7000,,ONLINE,
10003140,7/14/25,2917,Tuition Fees,July + August,7000,840,6160,Sibling Concession 15% (Custom Fixed),Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10002066,7/14/25,2916,Tuition Fees,July + August,7600,,7600,,Credit/Debit Card,cmd3fq0hm00037ifw68pdxd2t
10002665,7/14/25,2915,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10001909,7/12/25,2914,Tuition Fees,May + June,7600,,7600,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001909,7/12/25,2914,Tuition Fees,July + August,7600,,7600,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10003148,7/14/25,2913,Tuition Fees,July + August,7000,,7000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002877,7/14/25,2912,Tuition Fees,May + June,7000,840,6160,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002877,7/14/25,2912,Tuition Fees,July + August,7000,840,6160,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002541,7/14/25,2911,Tuition Fees,May + June,7000,,7000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002541,7/14/25,2911,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002513,7/14/25,2910,Tuition Fees,May + June,3800,,3800,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002513,7/14/25,2910,Tuition Fees,July + August,7600,,7600,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002960,7/14/25,2909,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002064,7/13/25,2908,Tuition Fees,July + August,7600,,7600,,ONLINE,
10002806,7/13/25,2907,Tuition Fees,July + August,7000,,7000,,ONLINE,
10003134,7/13/25,2906,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10002080,7/13/25,2905,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003303,7/13/25,2904,Tuition Fees,May + June,8000,,8000,,ONLINE,
10003022,7/13/25,2903,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10001766,7/13/25,2902,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003196,7/13/25,2901,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002460,7/13/25,2900,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003467,7/13/25,2899,Tuition Fees,July + August,7000,,7000,,ONLINE,
10003240,7/13/25,2898,Tuition Fees,July + August,8000,,8000,,ONLINE,
10003264,7/13/25,2897,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003262,7/12/25,2896,Tuition Fees,July + August,9000,,9000,,ONLINE,
10003245,7/12/25,2895,Tuition Fees,July + August,7600,1140,6460,Sibling Concession 15% (Custom Fixed),ONLINE,
10002470,7/12/25,2894,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003371,7/12/25,2893,Tuition Fees,July + August,5000,,5000,,ONLINE,
10000938,7/12/25,2892,Tuition Fees,September + October,8600,3000,5600,Staff Concession 1500,ONLINE,
10003384,7/12/25,2891,Admission Fee,April,8000,,8000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003384,7/12/25,2891,Security,April,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003384,7/12/25,2891,Annual Fund,April,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003384,7/12/25,2891,Term Charges,April,4300,,4300,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003384,7/12/25,2891,Tuition Fees,April,3500,,3500,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002386,7/12/25,2890,Tuition Fees,July + August,7000,,7000,,ONLINE,
10001925,7/12/25,2889,Tuition Fees,July + August,7600,3000,2300,Staff Concession 1500,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10001694,7/12/25,2888,Tuition Fees,July + August,8000,3000,2500,Staff Concession 1500,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003484,7/12/25,2887,Term Charges,April,4600,,4600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003484,7/12/25,2887,Parent Orientation,April,1000,,1000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003484,7/12/25,2887,WonderSkill Workshop,April,1000,,1000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003484,7/12/25,2887,Admission Fee,April,4000,,4000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003484,7/12/25,2887,Security,April,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003484,7/12/25,2887,Annual Fund,April,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003484,7/12/25,2887,Tuition Fees,July + August,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002737,7/12/25,2886,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003311,7/12/25,2885,Tuition Fees,July + August,5000,,5000,,ONLINE,
10002261,7/12/25,2884,Tuition Fees,July + August,7600,,7600,,ONLINE,
10002959,7/12/25,2883,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10003483,7/12/25,2882,Admission Fee,April,12000,,12000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003483,7/12/25,2882,Security,April,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003483,7/12/25,2882,Annual Fund,April,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003483,7/12/25,2882,Term Charges,April,4600,,4600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003483,7/12/25,2882,CAPS Workshop,April,2000,,2000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003483,7/12/25,2882,Parent Orientation,April,1000,,1000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003483,7/12/25,2882,Tuition Fees,July + August,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002825,7/12/25,2881,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002824,7/12/25,2880,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002678,7/12/25,2879,Tuition Fees,May + June,7000,,7000,,ONLINE,
10002648,7/12/25,2878,Tuition Fees,May + June,7000,,7000,,ONLINE,
10002648,7/12/25,2878,Tuition Fees,July + August,7000,,7000,,ONLINE,
10001654,7/12/25,2877,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003052,7/11/25,2876,Tuition Fees,May + June,7000,,7000,,ONLINE,
10003398,7/11/25,2875,Tuition Fees,September + October,7000,,7000,,ONLINE,
10003404,7/11/25,2874,Tuition Fees,September + October,7000,,7000,,ONLINE,
10003360,7/11/25,2873,Tuition Fees,July + August,5000,750,4250,Sibling Concession 15% (Custom Fixed),Cash,cmd3fq0hm00037ifw68pdxd2t
10003359,7/11/25,2872,Tuition Fees,July + August,7000,,7000,,Cash,cmd3fq0hm00037ifw68pdxd2t
10003353,7/11/25,2871,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fq0hm00037ifw68pdxd2t
10001149,7/11/25,2870,Tuition Fees,July + August,4300,,4300,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001323,7/11/25,2869,Tuition Fees,May + June,8000,,8000,,Cash,cmd3fq0hm00037ifw68pdxd2t
10002059,7/11/25,2868,Tuition Fees,May + June,7000,1050,5950,Sibling Concession 15%,Cash,cmd3fq0hm00037ifw68pdxd2t
10003161,7/11/25,2867,Tuition Fees,July + August,8000,,8000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003162,7/11/25,2866,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003482,7/11/25,2865,Security,April,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003482,7/11/25,2865,Tuition Fees,July + August,750,,750,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003421,7/11/25,2864,Tuition Fees,July + August,5000,1500,3500,Sibling Concession 15% (Custom Fixed),Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002198,7/11/25,2863,Tuition Fees,July + August,7600,,7600,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10001145,7/11/25,2862,Tuition Fees,July + August,8600,3000,2800,Staff Concession 1500,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003208,7/11/25,2861,Tuition Fees,July + August,5600,840,4760,Sibling Concession 15% (Custom Fixed),ONLINE,
10002829,7/11/25,2860,Tuition Fees,July + August,7000,,7000,,ONLINE,
10003466,7/11/25,2859,Tuition Fees,July + August,3800,,3800,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003029,7/11/25,2858,Tuition Fees,July + August,8000,,8000,,ONLINE,
10002764,7/11/25,2857,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003102,7/11/25,2856,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002060,7/11/25,2855,Tuition Fees,July + August,7600,3000,4600,Staff Concession 1500,ONLINE,
10001991,7/11/25,2854,Tuition Fees,July + August,7600,1140,6460,Sibling Concession 15% (Custom Fixed),ONLINE,
10001293,7/11/25,2853,Tuition Fees,July + August,8000,,8000,,ONLINE,
10003003,7/10/25,2852,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002664,7/10/25,2851,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002378,7/10/25,2850,Tuition Fees,July + August,3800,,3800,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002037,7/10/25,2849,Tuition Fees,September + October,7600,1050,6550,Sibling Concession 15%,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10001343,7/10/25,2848,Tuition Fees,September + October,8600,,8600,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10003468,7/10/25,2847,Tuition Fees,July + August,5000,,5000,,ONLINE,
10003481,7/10/25,2846,Admission Fee,April,12000,,12000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003481,7/10/25,2846,Security,April,5000,,5000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003481,7/10/25,2846,Annual Fund,April,5000,,5000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003481,7/10/25,2846,Term Charges,April,4300,,4300,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003481,7/10/25,2846,Parent Orientation,April,1000,,1000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003481,7/10/25,2846,Tuition Fees,July + August,7000,,7000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003480,7/10/25,2845,Term Charges,April,4300,,4300,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003480,7/10/25,2845,Security,April,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003480,7/10/25,2845,Annual Fund,April,5000,,5000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002071,7/10/25,2844,Tuition Fees,May + June,7000,,7000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002071,7/10/25,2844,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002955,7/10/25,2843,Tuition Fees,May + June,7000,840,6160,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002955,7/10/25,2843,Tuition Fees,July + August,7000,840,6160,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003072,7/10/25,2842,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10001580,7/10/25,2841,Tuition Fees,July + August,3800,,3800,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003479,7/10/25,2840,Term Charges,April,4300,,4300,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003479,7/10/25,2840,Parent Orientation,April,1000,,1000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003479,7/10/25,2840,Admission Fee,April,12000,,12000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003479,7/10/25,2840,Security,April,5000,,5000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003479,7/10/25,2840,Annual Fund,April,5000,,5000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003479,7/10/25,2840,Tuition Fees,July + August,7000,,7000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003479,7/10/25,2840,Tuition Fees,September + October,7000,,7000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10001157,7/10/25,2839,Tuition Fees,May + June,8000,,8000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002563,7/10/25,2838,Tuition Fees,July + August,7000,,7000,,Cash,cmd3fp3ok00027ifwvb3nbrat
10003292,7/10/25,2837,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002769,7/10/25,2836,Tuition Fees,July + August,7600,,7600,,ONLINE,
10001451,7/10/25,2835,Tuition Fees,July + August,4000,,4000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10001626,7/10/25,2834,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003085,7/9/25,2833,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003084,7/9/25,2832,Tuition Fees,July + August,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001646,7/9/25,2831,Tuition Fees,July + August,3800,,3800,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002515,7/10/25,2830,Tuition Fees,May + June,7600,,7600,,ONLINE,
10003478,7/10/25,2829,Admission Fee,April,4000,,4000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003478,7/10/25,2829,Security,April,5000,,5000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003478,7/10/25,2829,Annual Fund,April,5000,,5000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003478,7/10/25,2829,Term Charges,April,1900,,1900,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003478,7/10/25,2829,Parent Orientation,April,1000,,1000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003478,7/10/25,2829,Tuition Fees,July + August,5600,,5600,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002981,7/10/25,2828,Tuition Fees,July + August,7000,840,6160,Sibling Concession 15% (Custom Fixed),ONLINE,
10002982,7/10/25,2827,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002815,7/10/25,2826,Tuition Fees,September + October,7000,1050,5950,Sibling Concession 15%,ONLINE,
10001507,7/10/25,2825,Tuition Fees,September + October,7600,,7600,,ONLINE,
10003210,7/9/25,2824,Tuition Fees,July + August,7600,,7600,,ONLINE,
10002439,7/9/25,2823,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003460,7/9/25,2822,Tuition Fees,July + August,5000,750,4250,Sibling Concession 15% (Custom Fixed),ONLINE,
10002777,7/9/25,2821,Tuition Fees,July + August,7600,,7600,,ONLINE,
10002975,7/9/25,2820,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10001660,7/9/25,2819,Tuition Fees,July + August,8000,,8000,,ONLINE,
10003117,7/9/25,2818,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002398,7/9/25,2817,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002746,7/9/25,2816,Tuition Fees,July + August,7000,,7000,,ONLINE,
10003380,7/9/25,2815,Tuition Fees,July + August,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002730,7/9/25,2814,Tuition Fees,July + August,7000,1050,2975,Sibling Concession 15%,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10001531,7/9/25,2813,Tuition Fees,July + August,4000,,4000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10002726,7/9/25,2812,Tuition Fees,July + August,3500,,3500,,NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10003325,7/9/25,2811,Tuition Fees,July + August,5000,750,2125,Sibling Concession 15% (Custom Fixed),NEFT Payment,cmd3fp3ok00027ifwvb3nbrat
10003365,7/9/25,2809,Tuition Fees,July + August,5000,,5000,,ONLINE,
10003324,7/9/25,2808,Tuition Fees,July + August,5000,,5000,,ONLINE,
10003375,7/9/25,2807,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10003354,7/9/25,2806,Tuition Fees,July + August,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002702,7/9/25,2805,Tuition Fees,July + August,7000,,7000,,ONLINE,
10003301,7/9/25,2804,Tuition Fees,July + August,8000,,8000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001122,7/9/25,2803,Tuition Fees,September + October,9000,,9000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10001630,7/9/25,2802,Tuition Fees,July + August,3800,,3800,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001122,7/9/25,2801,Tuition Fees,July + August,9000,,9000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10003176,7/9/25,2800,Tuition Fees,July + August,5000,,5000,,ONLINE,
10003135,7/9/25,2799,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003015,7/9/25,2798,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10003331,7/9/25,2797,Tuition Fees,July + August,7000,,7000,,ONLINE,
10001517,7/9/25,2796,Tuition Fees,July + August,7600,,7600,,ONLINE,
10002732,7/9/25,2795,Tuition Fees,July + August,7600,,7600,,ONLINE,
10002079,7/9/25,2794,Tuition Fees,July + August,7600,,7600,,ONLINE,
10001318,7/8/25,2793,Tuition Fees,July + August,8000,,8000,,ONLINE,
10002691,7/8/25,2792,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10002471,7/8/25,2791,Tuition Fees,July + August,9000,,9000,,ONLINE,
10002966,7/8/25,2790,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10002965,7/8/25,2789,Tuition Fees,July + August,7600,,7600,,ONLINE,
10003420,7/8/25,2788,Tuition Fees,July + August,7000,,7000,,ONLINE,
10003417,7/8/25,2787,Tuition Fees,July + August,7600,,7600,,ONLINE,
10002967,7/8/25,2786,Tuition Fees,July + August,5600,,5600,,ONLINE,
10002587,7/8/25,2785,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10003308,7/8/25,2784,Tuition Fees,July + August,5000,750,4250,Sibling Concession 15% (Custom Fixed),ONLINE,
10002945,7/8/25,2783,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002653,7/8/25,2782,Tuition Fees,May + June,3800,,3800,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002653,7/8/25,2782,Tuition Fees,July + August,3800,,3800,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001570,7/8/25,2781,Tuition Fees,July + August,8600,,8600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001526,7/8/25,2780,Tuition Fees,July + August,7600,1520,6080,Sibling Concession 20%,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10001006,7/8/25,2779,Tuition Fees,July + August,9000,,9000,,Credit/Debit Card,cmd3fp3ok00027ifwvb3nbrat
10001789,7/8/25,2778,Tuition Fees,May + June,7600,,7600,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10000933,7/8/25,2777,Tuition Fees,May + June,9000,,9000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002545,7/8/25,2776,Tuition Fees,July + August,9000,,9000,,ONLINE,
10002944,7/8/25,2775,Tuition Fees,September + October,7000,,7000,,ONLINE,
10002381,7/8/25,2774,Tuition Fees,July + August,7000,,7000,,ONLINE,
10002381,7/8/25,2774,Tuition Fees,September + October,7000,,7000,,ONLINE,
10002381,7/8/25,2774,Tuition Fees,May + June,7000,,7000,,ONLINE,
10003177,7/8/25,2773,Tuition Fees,July + August,7000,1050,5950,Sibling Concession 15%,ONLINE,
10001384,7/8/25,2772,Tuition Fees,July + August,8000,,8000,,ONLINE,
10002744,7/8/25,2771,Tuition Fees,July + August,7000,,7000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10002099,7/8/25,2770,Tuition Fees,July + August,7600,1140,3230,Sibling Concession 15% (Custom Fixed),Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001280,7/8/25,2769,Tuition Fees,July + August,4000,,4000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
10001574,7/8/25,2768,Tuition Fees,July + August,4000,,4000,,Wallet/UPI/QR,cmd3fp3ok00027ifwvb3nbrat
